"county_name","state_fips_code","county_code","year","n_farms","acres_operated","net_income","land_value_acre","GEOID","nlcd_year"
"LINCOLN","29","113",2002,1102,251707,6789000,2172,"29113",2001
"LINN","29","115",2002,969,339876,10321000,1005,"29115",2001
"LIVINGSTON","29","117",2002,903,299545,12584000,1285,"29117",2001
"MACON","29","121",2002,1351,406324,16826000,1072,"29121",2001
"MADISON","29","123",2002,463,122726,801000,973,"29123",2001
"MARIES","29","125",2002,883,234381,-4188000,1032,"29125",2001
"MARION","29","127",2002,744,230159,8159000,1226,"29127",2001
"MCDONALD","29","119",2002,1113,215939,1576000,2029,"29119",2001
"MERCER","29","129",2002,569,212001,2001000,5358,"29129",2001
"MILLER","29","131",2002,1111,267535,7917000,1479,"29131",2001
"MISSISSIPPI","29","133",2002,247,271713,19202000,1855,"29133",2001
"MONITEAU","29","135",2002,1139,258233,12545000,1380,"29135",2001
"MONROE","29","137",2002,960,316295,14332000,1183,"29137",2001
"MONTGOMERY","29","139",2002,761,258679,8629000,1639,"29139",2001
"MORGAN","29","141",2002,930,222098,18369000,1553,"29141",2001
"NEW MADRID","29","143",2002,364,394946,34673000,1837,"29143",2001
"NEWTON","29","145",2002,1752,268670,3340000,1760,"29145",2001
"NODAWAY","29","147",2002,1396,505811,8751000,1195,"29147",2001
"OREGON","29","149",2002,843,266141,4061000,1004,"29149",2001
"OSAGE","29","151",2002,1219,314788,1899000,1400,"29151",2001
"OZARK","29","153",2002,820,281544,4161000,1366,"29153",2001
"PEMISCOT","29","155",2002,258,296436,22141000,1772,"29155",2001
"PERRY","29","157",2002,914,221854,8424000,1487,"29157",2001
"PETTIS","29","159",2002,1278,402390,7970000,1388,"29159",2001
"PHELPS","29","161",2002,824,201067,-3424000,1519,"29161",2001
"PIKE","29","163",2002,1061,344418,9318000,1618,"29163",2001
"PLATTE","29","165",2002,736,184642,5369000,2306,"29165",2001
"POLK","29","167",2002,1768,369396,12365000,1409,"29167",2001
"PULASKI","29","169",2002,573,141649,-844000,1310,"29169",2001
"PUTNAM","29","171",2002,723,293416,2104000,866,"29171",2001
"RALLS","29","173",2002,674,253181,11148000,1437,"29173",2001
"RANDOLPH","29","175",2002,971,245787,8229000,1174,"29175",2001
"RAY","29","177",2002,1231,292067,4636000,1490,"29177",2001
"REYNOLDS","29","179",2002,379,117793,-334000,1048,"29179",2001
"RIPLEY","29","181",2002,478,140171,-1007000,1016,"29181",2001
"SALINE","29","195",2002,945,413166,29137000,1368,"29195",2001
"SCHUYLER","29","197",2002,480,146359,1322000,811,"29197",2001
"SCOTLAND","29","199",2002,654,234417,6133000,1122,"29199",2001
"SCOTT","29","201",2002,514,223678,13776000,1745,"29201",2001
"SHANNON","29","203",2002,516,135312,-356000,1052,"29203",2001
"SHELBY","29","205",2002,676,299059,10350000,1187,"29205",2001
"ST CHARLES","29","183",2002,739,184753,12444000,3991,"29183",2001
"ST CLAIR","29","185",2002,766,268313,3979000,1018,"29185",2001
"ST FRANCOIS","29","187",2002,735,128536,4275000,2033,"29187",2001
"ST LOUIS","29","189",2002,328,39395,3629000,3627,"29189",2001
"STE GENEVIEVE","29","186",2002,677,184478,3380000,1446,"29186",2001
"STODDARD","29","207",2002,960,414680,18612000,2048,"29207",2001
"STONE","29","209",2002,645,113801,-1612000,1927,"29209",2001
"SULLIVAN","29","211",2002,850,364987,-308000,814,"29211",2001
"TANEY","29","213",2002,512,154063,2769000,1728,"29213",2001
"TEXAS","29","215",2002,1600,472163,3676000,1027,"29215",2001
"VERNON","29","217",2002,1399,426450,4221000,1105,"29217",2001
"WARREN","29","219",2002,670,141665,5239000,2312,"29219",2001
"WASHINGTON","29","221",2002,576,132718,-330000,1477,"29221",2001
"WAYNE","29","223",2002,445,113740,-462000,1034,"29223",2001
"WEBSTER","29","225",2002,1962,319883,9235000,1722,"29225",2001
"WORTH","29","227",2002,368,140228,3341000,916,"29227",2001
"WRIGHT","29","229",2002,1348,318191,3522000,1259,"29229",2001
"ADAIR","29","001",2012,822,273155,8084000,2453,"29001",2011
"ANDREW","29","003",2012,826,198588,16812000,3558,"29003",2011
"ATCHISON","29","005",2012,395,263088,78888000,4862,"29005",2011
"AUDRAIN","29","007",2012,1015,436483,37461000,3822,"29007",2011
"BARRY","29","009",2012,1427,268132,51948000,2538,"29009",2011
"BARTON","29","011",2012,940,332209,40013000,2105,"29011",2011
"BATES","29","013",2012,1169,448135,24762000,2268,"29013",2011
"BENTON","29","015",2012,800,240653,4639000,2090,"29015",2011
"BOLLINGER","29","017",2012,788,200228,9012000,2014,"29017",2011
"BOONE","29","019",2012,1171,240710,4857000,3644,"29019",2011
"BUCHANAN","29","021",2012,727,188688,26805000,3451,"29021",2011
"BUTLER","29","023",2012,509,234110,43222000,3184,"29023",2011
"CALDWELL","29","025",2012,1035,244528,12069000,2275,"29025",2011
"CALLAWAY","29","027",2012,1417,316066,8078000,3267,"29027",2011
"CAMDEN","29","029",2012,533,138617,-1859000,2176,"29029",2011
"CAPE GIRARDEAU","29","031",2012,1139,252911,17900000,3133,"29031",2011
"CARROLL","29","033",2012,1112,431832,48280000,3134,"29033",2011
"CARTER","29","035",2012,196,73642,-237000,1663,"29035",2011
"CASS","29","037",2012,1495,319314,13244000,3318,"29037",2011
"CEDAR","29","039",2012,819,189749,1184000,1822,"29039",2011
"CHARITON","29","041",2012,1120,406355,41317000,2973,"29041",2011
"CHRISTIAN","29","043",2012,1177,179468,-1817000,3124,"29043",2011
"CLARK","29","045",2012,673,241121,24247000,2654,"29045",2011
"CLAY","29","047",2012,578,110650,5653000,4282,"29047",2011
"CLINTON","29","049",2012,758,191602,5271000,3427,"29049",2011
"COLE","29","051",2012,1055,176306,5965000,2913,"29051",2011
"COOPER","29","053",2012,928,307128,15015000,2841,"29053",2011
"CRAWFORD","29","055",2012,679,194380,-1310000,2080,"29055",2011
"DADE","29","057",2012,734,245554,19899000,2192,"29057",2011
"DALLAS","29","059",2012,1188,217912,2376000,2326,"29059",2011
"DAVIESS","29","061",2012,1199,314925,22238000,2784,"29061",2011
"DE KALB","29","063",2012,863,242855,9217000,2817,"29063",2011
"DENT","29","065",2012,673,188060,-1056000,1602,"29065",2011
"DOUGLAS","29","067",2012,984,253922,-735000,1624,"29067",2011
"DUNKLIN","29","069",2012,345,279768,56188000,3770,"29069",2011
"FRANKLIN","29","071",2012,1841,291589,4026000,3722,"29071",2011
"GASCONADE","29","073",2012,859,208922,-741000,2451,"29073",2011
"GENTRY","29","075",2012,708,253310,15523000,2636,"29075",2011
"GREENE","29","077",2012,1752,210600,-5639000,3683,"29077",2011
"GRUNDY","29","079",2012,689,203954,13049000,2303,"29079",2011
"HARRISON","29","081",2012,1051,400833,25671000,2494,"29081",2011
"HENRY","29","083",2012,894,357573,9456000,2124,"29083",2011
"HICKORY","29","085",2012,487,181965,421000,1941,"29085",2011
"HOLT","29","087",2012,408,200337,34115000,3799,"29087",2011
"HOWARD","29","089",2012,765,243420,11975000,2537,"29089",2011
"HOWELL","29","091",2012,1535,353742,605000,1883,"29091",2011
"IRON","29","093",2012,273,70507,9000,1610,"29093",2011
"JACKSON","29","095",2012,701,110891,4635000,4037,"29095",2011
"JASPER","29","097",2012,1299,246707,24013000,2337,"29097",2011
"JEFFERSON","29","099",2012,705,97513,-1556000,3407,"29099",2011
"JOHNSON","29","101",2012,1657,390897,14689000,2645,"29101",2011
"KNOX","29","103",2012,695,280980,17520000,2981,"29103",2011
"LACLEDE","29","105",2012,1398,320136,1919000,2200,"29105",2011
"LAFAYETTE","29","107",2012,1174,326909,42182000,4225,"29107",2011
"LAWRENCE","29","109",2012,1849,311127,16587000,2562,"29109",2011
"LEWIS","29","111",2012,729,284283,19542000,2894,"29111",2011
"LINCOLN","29","113",2012,1162,281155,9407000,3900,"29113",2011
"LINN","29","115",2012,1039,335571,16304000,2416,"29115",2011
"LIVINGSTON","29","117",2012,847,283558,22847000,2916,"29117",2011
"MACON","29","121",2012,1291,386005,15117000,2477,"29121",2011
"MADISON","29","123",2012,373,107100,-260000,1840,"29123",2011
"MARIES","29","125",2012,836,241357,3224000,1951,"29125",2011
"MARION","29","127",2012,704,221469,25491000,3561,"29127",2011
"MCDONALD","29","119",2012,926,186599,29359000,2314,"29119",2011
"MERCER","29","129",2012,567,226786,12794000,2219,"29129",2011
"MILLER","29","131",2012,1013,248460,27079000,2221,"29131",2011
"MISSISSIPPI","29","133",2012,205,244954,55876000,4153,"29133",2011
"MONITEAU","29","135",2012,1089,235204,19473000,2698,"29135",2011
"MONROE","29","137",2012,1061,355654,22319000,3125,"29137",2011
"MONTGOMERY","29","139",2012,795,279165,8265000,3453,"29139",2011
"MORGAN","29","141",2012,922,198280,29198000,2646,"29141",2011
"NEW MADRID","29","143",2012,317,344553,72973000,4435,"29143",2011
"NEWTON","29","145",2012,1578,247762,49080000,2577,"29145",2011
"NODAWAY","29","147",2012,1252,423715,38067000,3251,"29147",2011
"OREGON","29","149",2012,752,253838,2515000,1556,"29149",2011
"OSAGE","29","151",2012,1115,283342,20330000,2047,"29151",2011
"OZARK","29","153",2012,639,228862,1498000,1624,"29153",2011
"PEMISCOT","29","155",2012,227,305039,65541000,3618,"29155",2011
"PERRY","29","157",2012,951,226441,6285000,2673,"29157",2011
"PETTIS","29","159",2012,1311,419697,27021000,2736,"29159",2011
"PHELPS","29","161",2012,718,157310,-1962000,2301,"29161",2011
"PIKE","29","163",2012,1003,361666,17116000,3461,"29163",2011
"PLATTE","29","165",2012,599,152942,11300000,3888,"29165",2011
"POLK","29","167",2012,1505,336228,8212000,2066,"29167",2011
"PULASKI","29","169",2012,520,112495,-609000,1948,"29169",2011
"PUTNAM","29","171",2012,649,292679,9266000,2063,"29171",2011
"RALLS","29","173",2012,723,283486,15857000,3210,"29173",2011
"RANDOLPH","29","175",2012,818,209491,5764000,2630,"29175",2011
"RAY","29","177",2012,1162,273191,26241000,2730,"29177",2011
"REYNOLDS","29","179",2012,363,97127,-898000,1463,"29179",2011
"RIPLEY","29","181",2012,439,137829,3106000,1794,"29181",2011
"SALINE","29","195",2012,959,461119,82051000,4023,"29195",2011
"SCHUYLER","29","197",2012,516,159378,5499000,2226,"29197",2011
"SCOTLAND","29","199",2012,674,244169,21996000,2936,"29199",2011
"SCOTT","29","201",2012,484,222960,49520000,4077,"29201",2011
"SHANNON","29","203",2012,452,123987,-886000,1670,"29203",2011
"SHELBY","29","205",2012,709,299290,21980000,3552,"29205",2011
"ST CHARLES","29","183",2012,566,158146,23928000,4240,"29183",2011
"ST CLAIR","29","185",2012,728,238554,6573000,1656,"29185",2011
"ST FRANCOIS","29","187",2012,627,116394,-391000,2513,"29187",2011
"ST LOUIS","29","189",2012,217,29711,1906000,4128,"29189",2011
"STE GENEVIEVE","29","186",2012,608,162636,847000,2305,"29186",2011
"STODDARD","29","207",2012,907,448145,98464000,4392,"29207",2011
"STONE","29","209",2012,601,118015,2473000,2369,"29209",2011
"SULLIVAN","29","211",2012,798,323005,27411000,1858,"29211",2011
"TANEY","29","213",2012,414,115895,1117000,1961,"29213",2011
"TEXAS","29","215",2012,1296,392248,-2416000,1641,"29215",2011
"VERNON","29","217",2012,1356,418614,60376000,2156,"29217",2011
"WARREN","29","219",2012,621,136128,7269000,3880,"29219",2011
"WASHINGTON","29","221",2012,531,123960,-591000,1919,"29221",2011
"WAYNE","29","223",2012,411,116617,-523000,1527,"29223",2011
"WEBSTER","29","225",2012,1837,272073,1255000,2612,"29225",2011
"WORTH","29","227",2012,384,125048,12226000,2254,"29227",2011
"WRIGHT","29","229",2012,1246,293996,-207000,1797,"29229",2011
"ADAIR","29","001",2022,804,249382,8390000,4098,"29001",2021
"ANDREW","29","003",2022,625,157750,31177000,5070,"29003",2021
"ATCHISON","29","005",2022,430,273607,97604000,6221,"29005",2021
"AUDRAIN","29","007",2022,764,329649,96986000,6387,"29007",2021
"BARRY","29","009",2022,1299,279279,237409000,4384,"29009",2021
"BARTON","29","011",2022,782,365241,57757000,4126,"29011",2021
"BATES","29","013",2022,1014,426962,44124000,4006,"29013",2021
"BENTON","29","015",2022,720,198779,62223000,4020,"29015",2021
"BOLLINGER","29","017",2022,698,167603,6258000,3609,"29017",2021
"BOONE","29","019",2022,1120,196763,61350000,5608,"29019",2021
"BUCHANAN","29","021",2022,619,140427,29195000,5382,"29021",2021
"BUTLER","29","023",2022,451,250359,49820000,5085,"29023",2021
"CALDWELL","29","025",2022,866,218258,31416000,4467,"29025",2021
"CALLAWAY","29","027",2022,1271,289024,62137000,4653,"29027",2021
"CAMDEN","29","029",2022,533,147003,6174000,2851,"29029",2021
"CAPE GIRARDEAU","29","031",2022,994,255019,31627000,4745,"29031",2021
"CARROLL","29","033",2022,960,393921,95462000,5366,"29033",2021
"CARTER","29","035",2022,173,70610,-497000,2342,"29035",2021
"CASS","29","037",2022,1314,301581,31907000,4459,"29037",2021
"CEDAR","29","039",2022,782,223426,11646000,3763,"29039",2021
"CHARITON","29","041",2022,954,372047,66509000,4955,"29041",2021
"CHRISTIAN","29","043",2022,1137,174620,1015000,5535,"29043",2021
"CLARK","29","045",2022,574,215798,53313000,4859,"29045",2021
"CLAY","29","047",2022,523,86064,12809000,6629,"29047",2021
"CLINTON","29","049",2022,628,190097,26091000,5692,"29049",2021
"COLE","29","051",2022,927,143831,8049000,5078,"29051",2021
"COOPER","29","053",2022,753,262105,52204000,5376,"29053",2021
"CRAWFORD","29","055",2022,581,194055,-5241000,2882,"29055",2021
"DADE","29","057",2022,703,313523,59807000,3520,"29057",2021
"DALLAS","29","059",2022,1010,166832,15943000,4179,"29059",2021
"DAVIESS","29","061",2022,976,320474,61075000,4517,"29061",2021
"DE KALB","29","063",2022,669,191284,33482000,4456,"29063",2021
"DENT","29","065",2022,601,203855,-79000,2920,"29065",2021
"DOUGLAS","29","067",2022,1018,336408,-1708000,2936,"29067",2021
"DUNKLIN","29","069",2022,291,302199,119845000,6938,"29069",2021
"FRANKLIN","29","071",2022,1657,265858,1073000,5647,"29071",2021
"GASCONADE","29","073",2022,727,192365,499000,3826,"29073",2021
"GENTRY","29","075",2022,629,268094,63377000,4448,"29075",2021
"GREENE","29","077",2022,1668,197605,-3168000,7004,"29077",2021
"GRUNDY","29","079",2022,564,214652,39678000,4305,"29079",2021
"HARRISON","29","081",2022,987,403261,65073000,3799,"29081",2021
"HENRY","29","083",2022,811,362617,27159000,4028,"29083",2021
"HICKORY","29","085",2022,466,177802,8438000,3566,"29085",2021
"HOLT","29","087",2022,416,220066,81883000,5713,"29087",2021
"HOWARD","29","089",2022,584,206874,28219000,3853,"29089",2021
"HOWELL","29","091",2022,1392,363963,-3893000,2894,"29091",2021
"IRON","29","093",2022,273,84993,-3285000,2697,"29093",2021
"JACKSON","29","095",2022,588,80664,8734000,6658,"29095",2021
"JASPER","29","097",2022,1174,270662,31189000,4178,"29097",2021
"JEFFERSON","29","099",2022,656,106429,-731000,5915,"29099",2021
"JOHNSON","29","101",2022,1526,415874,78280000,4787,"29101",2021
"KNOX","29","103",2022,539,224997,46170000,4706,"29103",2021
"LACLEDE","29","105",2022,1194,307082,953000,3518,"29105",2021
"LAFAYETTE","29","107",2022,1079,286192,87605000,7328,"29107",2021
"LAWRENCE","29","109",2022,1599,312640,84646000,4465,"29109",2021
"LEWIS","29","111",2022,613,220282,53870000,4861,"29111",2021
"LINCOLN","29","113",2022,1040,218355,37428000,5019,"29113",2021
"LINN","29","115",2022,957,326008,39657000,4261,"29115",2021
"LIVINGSTON","29","117",2022,785,286858,54218000,4690,"29117",2021
"MACON","29","121",2022,1258,432256,61023000,4026,"29121",2021
"MADISON","29","123",2022,331,96231,2156000,2627,"29123",2021
"MARIES","29","125",2022,736,216335,13357000,3134,"29125",2021
"MARION","29","127",2022,553,193536,52691000,6203,"29127",2021
"MCDONALD","29","119",2022,885,191401,119933000,3910,"29119",2021
"MERCER","29","129",2022,461,207759,32262000,3903,"29129",2021
"MILLER","29","131",2022,874,242451,49431000,3272,"29131",2021
"MISSISSIPPI","29","133",2022,175,260982,85949000,6746,"29133",2021
"MONITEAU","29","135",2022,918,189462,70273000,4680,"29135",2021
"MONROE","29","137",2022,846,285759,62465000,5186,"29137",2021
"MONTGOMERY","29","139",2022,672,198095,38669000,5802,"29139",2021
"MORGAN","29","141",2022,871,213322,181349000,5025,"29141",2021
"NEW MADRID","29","143",2022,244,346144,102574000,6704,"29143",2021
"NEWTON","29","145",2022,1414,239381,284612000,4732,"29145",2021
"NODAWAY","29","147",2022,1034,380179,79899000,5499,"29147",2021
"OREGON","29","149",2022,678,272656,5815000,2560,"29149",2021
"OSAGE","29","151",2022,1089,323170,30466000,3470,"29151",2021
"OZARK","29","153",2022,607,229631,2433000,2762,"29153",2021
"PEMISCOT","29","155",2022,195,294693,116723000,6687,"29155",2021
"PERRY","29","157",2022,736,193440,37186000,4388,"29157",2021
"PETTIS","29","159",2022,1066,360253,121054000,4906,"29159",2021
"PHELPS","29","161",2022,748,174422,-5222000,3912,"29161",2021
"PIKE","29","163",2022,887,331162,49224000,4561,"29163",2021
"PLATTE","29","165",2022,485,147941,24992000,5713,"29165",2021
"POLK","29","167",2022,1380,340780,19485000,3857,"29167",2021
"PULASKI","29","169",2022,423,117115,461000,3020,"29169",2021
"PUTNAM","29","171",2022,574,295526,28272000,3789,"29171",2021
"RALLS","29","173",2022,587,191799,32136000,5816,"29173",2021
"RANDOLPH","29","175",2022,791,212214,28613000,4578,"29175",2021
"RAY","29","177",2022,958,259143,46593000,5276,"29177",2021
"REYNOLDS","29","179",2022,311,72900,-1758000,2655,"29179",2021
"RIPLEY","29","181",2022,397,139907,-1229000,2855,"29181",2021
"SALINE","29","195",2022,832,426061,177619000,6325,"29195",2021
"SCHUYLER","29","197",2022,411,143229,17801000,4152,"29197",2021
"SCOTLAND","29","199",2022,654,212718,69596000,5438,"29199",2021
"SCOTT","29","201",2022,389,213397,88123000,6405,"29201",2021
"SHANNON","29","203",2022,422,133126,1314000,2396,"29203",2021
"SHELBY","29","205",2022,576,254810,69255000,6127,"29205",2021
"ST CHARLES","29","183",2022,589,170588,33871000,6162,"29183",2021
"ST CLAIR","29","185",2022,676,292065,7231000,3962,"29185",2021
"ST FRANCOIS","29","187",2022,626,94940,923000,5052,"29187",2021
"ST LOUIS","29","189",2022,222,21936,7348000,10928,"29189",2021
"STE GENEVIEVE","29","186",2022,587,158419,12315000,4393,"29186",2021
"STODDARD","29","207",2022,637,417349,136849000,6814,"29207",2021
"STONE","29","209",2022,586,87784,18382000,4003,"29209",2021
"SULLIVAN","29","211",2022,642,318779,38154000,3213,"29211",2021
"TANEY","29","213",2022,438,100205,8162000,3385,"29213",2021
"TEXAS","29","215",2022,1309,407913,654000,3220,"29215",2021
"VERNON","29","217",2022,1241,495559,96331000,4000,"29217",2021
"WARREN","29","219",2022,534,115250,15559000,5779,"29219",2021
"WASHINGTON","29","221",2022,372,87234,-1860000,2926,"29221",2021
"WAYNE","29","223",2022,352,94567,-2173000,2495,"29223",2021
"WEBSTER","29","225",2022,1609,266345,1194000,4559,"29225",2021
"WORTH","29","227",2022,388,148910,20577000,3888,"29227",2021
"WRIGHT","29","229",2022,1123,292986,3511000,3310,"29229",2021
